id	paper	permanent_id	host	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
22609	231	GF05010482S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	59845	0	669
22610	231	GF05010484S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	33327	0	142
22612	231	GF05010516S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	48069	0	394
22614	231	GF05010515S	Elodea	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	73118	0	66
23500	569	GF03003965S	Schizachyrium scoparium	root	39.4532	-121.639	North America	2015	2015	aquatic	ITS9/ITS4	18	702	6.1	10.1	350358	0	203
23521	231	GF05010530S	Coffea arabica	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	48062	0	2
23890	387	GF04007866S	?	root	31.0919	-94.2654	North America	2015	2015	grassland	fITS7/ITS4	19.7	1364	5.1	2.9	41507	0	2
23898	335	GF05000011S	Populus deltoides	root	8.90372	-82.7866	North America	2012	2012	cropland	5.8S/ITS4	19	3169	5.4	7.5	271951	0	84
24456	38	GF05027096S	Populus deltoides	root	51.14	10.38	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	679	5.7	16.7	17384	0	8
24471	643	GF02000063S	?	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	102520	0	2
24515	643	GF02000096S	Castanopsis fargesii	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	69224	0	12
24516	38	GF05026866S	Magnoliophyta	root	48.39	9.41	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	792	5.8	16.7	15759	0	1
24836	231	GF05010529S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	40533	0	43
24839	15	GF05029046S	Castanopsis fargesii	root	29.08	117.9	Asia	2014	2014	forest	ITS1F/ITS4 then fITS7/ITS4	18.1	1859	5.3	4.7	34167	0	2
25181	708	GF01013196S	Magnoliophyta	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	2297	0	3
25187	708	GF01013195S	Plantago lanceolata	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	1716	0	8
25226	231	GF05010506S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	62741	0	695
25526	167	GF05015778S	Elaeis guineensis	root	2.65	102.513	Asia	2017	2017	cropland	fITS7/ITS4	26.8	1838	4.8	7.2	66290	0	1
25650	478	GF04000428S	Fagus sylvatica	root	50.7473	4.4037	Europe	2019	2019	forest	ITS86F/ITS4	9.9	904	4.5	7	47407	0	2
