,strain,25 degrees,30 degrees,replicate,Growth difference
63,P65,10.054,10.665,R2,0.06077183210662412
64,P66,10.263,7.872000000000001,R2,-0.23297281496638403
65,P67,11.162,9.408,R2,-0.15714029743773528
66,P68,12.343,8.743,R2,-0.2916632909341327
67,P117,10.755,4.841,R2,-0.5498837749883775
68,P143,6.702999999999999,6.6339999999999995,R2,-0.010293898254512898
69,P340,8.521,7.992000000000001,R2,-0.062081915268160995
70,P421,8.53,8.042,R2,-0.05720984759671742
71,P455,6.856,2.7560000000000002,R2,-0.5980163360560093
72,P612,9.478,8.075,R2,-0.1480270099177042
73,P1,9.148,7.812,R3,-0.14604285089637073
74,P2,7.111000000000001,2.381,R3,-0.6651666432288005
75,P3,9.774,6.979,R3,-0.28596275833844886
76,P4,8.089,8.347000000000001,R3,0.03189516627518864
77,P5,10.183,7.497999999999999,R3,-0.26367475203770996
78,P6,7.276,7.662999999999999,R3,0.05318856514568438
79,P7,7.419,1.3330000000000002,R3,-0.8203261895134115
80,P8,7.154,6.386,R3,-0.10735253005311711
81,P9,6.529,7.567,R3,0.15898299892786036
82,P10,9.437000000000001,6.915,R3,-0.2672459468051288
83,P11,8.536,,R3,
84,P12,12.548,8.884,R3,-0.29199872489639783
85,P13,9.947000000000001,7.435,R3,-0.2525384538051675
86,P14,7.388,6.697,R3,-0.09353004872766646
87,P15,8.998,8.086,R3,-0.10135585685707925
88,P16,10.523,8.963,R3,-0.14824669770977864
89,P17,10.129,9.603,R3,-0.051930101688221916
90,P18,9.329,8.619,R3,-0.07610676385464689
91,P19,11.119000000000002,8.361,R3,-0.24804388883892442
92,P20,8.356,2.764,R3,-0.6692197223551939
93,P21,9.874,7.5729999999999995,R3,-0.2330362568361354
94,P22,9.286,3.6639999999999997,R3,-0.6054275253069137
95,P23,8.918,8.344,R3,-0.06436420722135007
96,P24,8.38,5.303,R3,-0.367183770883055
97,P25,10.927,9.633,R3,-0.11842225679509477
98,P26,8.802999999999999,8.323,R3,-0.054526865841190354
99,P27,12.280999999999999,10.904000000000002,R3,-0.11212441983551806
100,P28,9.246,9.35,R3,0.011248107289638676
101,P29,9.814,6.586,R3,-0.3289178724271449
102,P30,9.015,6.981,R3,-0.2256239600665558
103,P31,12.716,11.399000000000001,R3,-0.10357030512739843
104,P32,7.585,6.04,R3,-0.2036914963744232
105,P33,6.599,6.755,R3,0.023639945446279693
106,P34,7.906000000000001,7.784,R3,-0.015431317986339586
107,P35,9.802,8.116,R3,-0.17200571311977148
108,P36,8.535,6.229,R3,-0.27018160515524314
109,P38,10.382,9.544,R3,-0.08071662492775951
110,P39,11.577,9.451,R3,-0.18363997581411415
111,P40,7.518,4.375,R3,-0.4180633147113594
112,P41,8.806000000000001,8.094,R3,-0.08085396320690455
113,P42,10.683,10.064,R3,-0.05794252550781614
114,P43,7.944,6.147,R3,-0.22620845921450147
115,P44,9.902000000000001,7.643,R3,-0.22813573015552424
116,P45,12.203,7.771,R3,-0.36318937966073916
117,P46,7.349,1.072,R3,-0.8541298135800789
118,P47,8.859,4.524,R3,-0.48933288181510326
119,P48,8.801,6.712000000000001,R3,-0.23735939097829786
120,P49,4.148,4.8,R3,0.15718418514946966
121,P50,10.804,6.087000000000001,R3,-0.43659755646057014
122,P51,6.821000000000001,7.244,R3,0.06201436739481002
123,P52,11.42,8.825,R3,-0.2272329246935202
124,P53,8.981,9.048,R3,0.00746019374234497
125,P54,5.4270000000000005,3.321,R3,-0.3880597014925373
126,P55,10.134,8.856,R3,-0.12611012433392543
127,P56,10.581,9.863,R3,-0.06785748038937718
128,P57,7.531000000000001,7.228,R3,-0.04023370070375791
129,P58,7.7010000000000005,8.379,R3,0.08804051421893248
130,P59,9.596,7.872000000000001,R3,-0.1796581909128803
131,P60,8.255,8.212,R3,-0.0052089642640825
132,P61,7.526,7.0089999999999995,R3,-0.0686951900079724
133,P62,9.929,7.986000000000001,R3,-0.19568939470238692
134,P63,10.013,10.405,R3,0.03914910616198936
135,P64,6.178999999999999,10.12,R3,0.6378054701407995
136,P65,11.08,10.654000000000002,R3,-0.03844765342960274
137,P66,10.15,8.715,R3,-0.14137931034482762
138,P67,9.411,8.847000000000001,R3,-0.0599298693018806
139,P68,9.911,8.181000000000001,R3,-0.17455352638482483
140,P117,9.377,1.21,R3,-0.8709608616828411
141,P143,7.611000000000001,7.902,R3,0.03823413480488759
142,P340,8.32,7.528,R3,-0.09519230769230777
143,P421,8.959,7.769,R3,-0.13282732447817833
144,P455,9.147,7.292999999999999,R3,-0.202689406362742
145,P612,6.466,2.149,R3,-0.6676461490875348
146,P1,9.529,6.669,R4,-0.30013642564802184
147,P2,6.207999999999999,1.565,R4,-0.7479059278350515
148,P3,9.536,6.895,R4,-0.2769505033557047
149,P4,10.049,7.047000000000001,R4,-0.29873619265598556
150,P5,10.604000000000001,6.7410000000000005,R4,-0.3642964918898529
151,P6,8.205,5.167999999999999,R4,-0.3701401584399757
152,P7,7.495,0.9390000000000001,R4,-0.8747164776517679
153,P8,8.324,5.809,R4,-0.30213839500240264
154,P9,7.047000000000001,5.236000000000001,R4,-0.2569887895558393
155,P10,9.308,3.549,R4,-0.6187150837988827
156,P11,7.975,4.861000000000001,R4,-0.39047021943573657
157,P12,13.728,4.7219999999999995,R4,-0.6560314685314685
158,P13,10.304,2.54,R4,-0.7534937888198758
159,P14,7.9639999999999995,3.658,R4,-0.540683073832245
160,P15,9.236,7.195,R4,-0.22098310957124298
161,P16,11.174000000000001,8.573,R4,-0.23277250760694473
162,P17,11.117,9.696,R4,-0.1278222542052713
163,P18,8.746,7.81,R4,-0.10702035216098797
164,P19,10.452,7.851,R4,-0.24885189437428243
165,P20,8.402000000000001,3.424,R4,-0.5924779814329922
166,P21,9.454,1.9469999999999998,R4,-0.7940554262745928
167,P22,10.397,1.507,R4,-0.8550543425988266
168,P23,10.212,5.697,R4,-0.4421269095182139
169,P24,8.811,3.332,R4,-0.6218363409374645
170,P25,11.513,6.6770000000000005,R4,-0.4200469035003908
171,P26,9.718,6.877999999999999,R4,-0.29224120189339375
172,P27,12.388,8.703,R4,-0.29746528898934455
173,P28,9.972000000000001,4.364,R4,-0.5623746490172483
174,P29,9.12,4.053999999999999,R4,-0.5554824561403509
175,P30,12.412,7.406000000000001,R4,-0.4033193683532066
176,P31,11.81,10.9,R4,-0.07705334462320068
177,P32,8.661,6.965,R4,-0.1958203440711234
178,P33,8.193999999999999,7.329,R4,-0.10556504759580174
179,P34,9.362,8.611,R4,-0.08021790215765856
180,P35,10.937999999999999,8.766,R4,-0.19857377948436633
181,P36,9.227,6.67,R4,-0.27712149127560426
182,P38,10.437999999999999,9.701,R4,-0.07060739605288355
183,P39,10.027000000000001,8.237,R4,-0.17851800139623025
184,P40,8.027000000000001,3.4989999999999997,R4,-0.5640961754079981
185,P41,9.792,8.4,R4,-0.14215686274509798
186,P42,10.458,9.896,R4,-0.05373876458213802
187,P43,8.217,5.553,R4,-0.3242059145673604
